Feature,Ranking,Selected,Model,Sampling
asppd,1,True,RandomForest,RandomUnderSampling
cigpd_f,3,False,RandomForest,RandomUnderSampling
cig_years,1,True,RandomForest,RandomUnderSampling
pack_years,1,True,RandomForest,RandomUnderSampling
height_f,1,True,RandomForest,RandomUnderSampling
ibuppd,2,False,RandomForest,RandomUnderSampling
weight_f,1,True,RandomForest,RandomUnderSampling
brothers,1,True,RandomForest,RandomUnderSampling
educat,1,True,RandomForest,RandomUnderSampling
race1,4,False,RandomForest,RandomUnderSampling
age,1,True,RandomForest,RandomUnderSampling
bmi_curr,1,True,RandomForest,RandomUnderSampling
asppd,1,True,RandomForest,SMOTE-all
cigpd_f,1,True,RandomForest,SMOTE-all
cig_years,1,True,RandomForest,SMOTE-all
pack_years,1,True,RandomForest,SMOTE-all
height_f,1,True,RandomForest,SMOTE-all
ibuppd,1,True,RandomForest,SMOTE-all
weight_f,1,True,RandomForest,SMOTE-all
brothers,1,True,RandomForest,SMOTE-all
educat,1,True,RandomForest,SMOTE-all
race1,1,True,RandomForest,SMOTE-all
age,1,True,RandomForest,SMOTE-all
bmi_curr,1,True,RandomForest,SMOTE-all
asppd,1,True,RandomForest,SMOTE-minority
cigpd_f,1,True,RandomForest,SMOTE-minority
cig_years,1,True,RandomForest,SMOTE-minority
pack_years,1,True,RandomForest,SMOTE-minority
height_f,1,True,RandomForest,SMOTE-minority
ibuppd,1,True,RandomForest,SMOTE-minority
weight_f,1,True,RandomForest,SMOTE-minority
brothers,1,True,RandomForest,SMOTE-minority
educat,1,True,RandomForest,SMOTE-minority
race1,1,True,RandomForest,SMOTE-minority
age,1,True,RandomForest,SMOTE-minority
bmi_curr,1,True,RandomForest,SMOTE-minority
asppd,1,True,RandomForest,ADASYN-all
cigpd_f,1,True,RandomForest,ADASYN-all
cig_years,1,True,RandomForest,ADASYN-all
pack_years,1,True,RandomForest,ADASYN-all
height_f,1,True,RandomForest,ADASYN-all
ibuppd,1,True,RandomForest,ADASYN-all
weight_f,1,True,RandomForest,ADASYN-all
brothers,1,True,RandomForest,ADASYN-all
educat,1,True,RandomForest,ADASYN-all
race1,1,True,RandomForest,ADASYN-all
age,1,True,RandomForest,ADASYN-all
bmi_curr,1,True,RandomForest,ADASYN-all
asppd,1,True,RandomForest,ADASYN-minority
cigpd_f,1,True,RandomForest,ADASYN-minority
cig_years,1,True,RandomForest,ADASYN-minority
pack_years,1,True,RandomForest,ADASYN-minority
height_f,1,True,RandomForest,ADASYN-minority
ibuppd,1,True,RandomForest,ADASYN-minority
weight_f,1,True,RandomForest,ADASYN-minority
brothers,1,True,RandomForest,ADASYN-minority
educat,1,True,RandomForest,ADASYN-minority
race1,1,True,RandomForest,ADASYN-minority
age,1,True,RandomForest,ADASYN-minority
bmi_curr,1,True,RandomForest,ADASYN-minority
asppd,1,True,LogisticRegression,RandomUnderSampling
