Feature,Ranking,Selected,Model,Sampling
census_median_hh_income_1990,1,True,RandomForest,RandomUnderSampling
census_pct_f_unemploy_1990,1,True,RandomForest,RandomUnderSampling
census_pct_hisp_black_1990,5,False,RandomForest,RandomUnderSampling
census_pct_m_unemploy_1990,1,True,RandomForest,RandomUnderSampling
census_pct_nh_black_1990,1,True,RandomForest,RandomUnderSampling
census_pct_notinlabor_f_1990,1,True,RandomForest,RandomUnderSampling
census_pct_notinlabor_m_1990,1,True,RandomForest,RandomUnderSampling
census_pct_residents65_1990,1,True,RandomForest,RandomUnderSampling
census_pct_t_unemploy_1990,1,True,RandomForest,RandomUnderSampling
census_population_1990,1,True,RandomForest,RandomUnderSampling
census_e4p001_1990,1,True,RandomForest,RandomUnderSampling
census_e4p002_1990,1,True,RandomForest,RandomUnderSampling
census_e4p003_1990,1,True,RandomForest,RandomUnderSampling
census_e4p004_1990,1,True,RandomForest,RandomUnderSampling
census_e4p005_1990,1,True,RandomForest,RandomUnderSampling
census_e4p006_1990,1,True,RandomForest,RandomUnderSampling
census_e4p007_1990,1,True,RandomForest,RandomUnderSampling
census_e4p008_1990,1,True,RandomForest,RandomUnderSampling
census_e4p009_1990,1,True,RandomForest,RandomUnderSampling
census_e4p010_1990,1,True,RandomForest,RandomUnderSampling
census_e4p011_1990,1,True,RandomForest,RandomUnderSampling
census_e4p012_1990,1,True,RandomForest,RandomUnderSampling
census_e4p013_1990,1,True,RandomForest,RandomUnderSampling
census_e4p014_1990,1,True,RandomForest,RandomUnderSampling
census_e4p015_1990,1,True,RandomForest,RandomUnderSampling
census_e4p016_1990,1,True,RandomForest,RandomUnderSampling
census_e4p017_1990,1,True,RandomForest,RandomUnderSampling
census_e4q001_1990,1,True,RandomForest,RandomUnderSampling
census_e4q002_1990,1,True,RandomForest,RandomUnderSampling
census_e4q003_1990,1,True,RandomForest,RandomUnderSampling
census_e4q004_1990,1,True,RandomForest,RandomUnderSampling
census_e4q005_1990,1,True,RandomForest,RandomUnderSampling
census_e4q006_1990,1,True,RandomForest,RandomUnderSampling
census_e4q007_1990,1,True,RandomForest,RandomUnderSampling
census_e4q008_1990,1,True,RandomForest,RandomUnderSampling
census_e4q009_1990,1,True,RandomForest,RandomUnderSampling
census_e4q010_1990,1,True,RandomForest,RandomUnderSampling
census_e4q011_1990,1,True,RandomForest,RandomUnderSampling
census_e4q012_1990,1,True,RandomForest,RandomUnderSampling
census_e4q013_1990,1,True,RandomForest,RandomUnderSampling
census_hocost_50p_mrt_2000,1,True,RandomForest,RandomUnderSampling
census_hocost_50p_nmrt_2000,1,True,RandomForest,RandomUnderSampling
census_homes_medvalue_2000,1,True,RandomForest,RandomUnderSampling
census_median_hh_inc_2000,1,True,RandomForest,RandomUnderSampling
census_pct_below_pov_2000,1,True,RandomForest,RandomUnderSampling
census_pct_crowding_2000,1,True,RandomForest,RandomUnderSampling
census_pct_f_head_hh_2000,1,True,RandomForest,RandomUnderSampling
census_pct_hh_nocar_2000,1,True,RandomForest,RandomUnderSampling
census_pct_hh_poverty_2000,1,True,RandomForest,RandomUnderSampling
census_pct_hh_pub_asst_2000,3,False,RandomForest,RandomUnderSampling
census_pct_hhinc_lt30k_2000,1,True,RandomForest,RandomUnderSampling
census_pct_hisp_black_2000,4,False,RandomForest,RandomUnderSampling
census_pct_homes_rent_2000,1,True,RandomForest,RandomUnderSampling
census_pct_homes_vacant_2000,1,True,RandomForest,RandomUnderSampling
census_pct_low_social_2000,1,True,RandomForest,RandomUnderSampling
census_pct_m_unemploy_2000,1,True,RandomForest,RandomUnderSampling
census_pct_mgr_f_2000,1,True,RandomForest,RandomUnderSampling
census_pct_mgr_m_2000,1,True,RandomForest,RandomUnderSampling
census_pct_nh_blacks_2000,1,True,RandomForest,RandomUnderSampling
census_pct_notinlabor_f_2000,1,True,RandomForest,RandomUnderSampling
census_pct_notinlabor_m_2000,1,True,RandomForest,RandomUnderSampling
census_pct_prof_f_2000,1,True,RandomForest,RandomUnderSampling
census_pct_prof_m_2000,1,True,RandomForest,RandomUnderSampling
census_pct_residents65_2000,1,True,RandomForest,RandomUnderSampling
census_pct_same_res5yrs_2000,1,True,RandomForest,RandomUnderSampling
census_pct_t_less_hs_2000,1,True,RandomForest,RandomUnderSampling
