Feature,Ranking,Selected,Model,Sampling
asppd,0,False,RandomForest,ADASYN-minority
cigpd_f,0,False,RandomForest,ADASYN-minority
cig_years,0,False,RandomForest,ADASYN-minority
pack_years,1,True,RandomForest,ADASYN-minority
height_f,0,False,RandomForest,ADASYN-minority
ibuppd,0,False,RandomForest,ADASYN-minority
weight_f,1,True,RandomForest,ADASYN-minority
brothers,1,True,RandomForest,ADASYN-minority
educat,1,True,RandomForest,ADASYN-minority
race1,0,False,RandomForest,ADASYN-minority
age,1,True,RandomForest,ADASYN-minority
bmi_curr,1,True,RandomForest,ADASYN-minority
asppd,1,True,LogisticRegression,ADASYN-minority
cigpd_f,0,False,LogisticRegression,ADASYN-minority
cig_years,1,True,LogisticRegression,ADASYN-minority
pack_years,0,False,LogisticRegression,ADASYN-minority
height_f,1,True,LogisticRegression,ADASYN-minority
ibuppd,0,False,LogisticRegression,ADASYN-minority
weight_f,0,False,LogisticRegression,ADASYN-minority
brothers,0,False,LogisticRegression,ADASYN-minority
educat,1,True,LogisticRegression,ADASYN-minority
race1,1,True,LogisticRegression,ADASYN-minority
age,1,True,LogisticRegression,ADASYN-minority
bmi_curr,0,False,LogisticRegression,ADASYN-minority
